净值日期,单位净值,日增长率
2020-06-22,1.0,0.0
2020-06-24,0.9999,0.0
2020-06-30,0.9996,0.0
2020-07-03,1.0014,0.0
2020-07-10,1.0143,0.0
2020-07-17,1.0107,0.0
2020-07-24,1.0125,0.0
2020-07-31,1.0225,0.0
2020-08-07,1.0322,0.0
2020-08-14,1.0309,0.0
2020-08-17,1.0349,0.388
2020-08-18,1.0396,0.4542
2020-08-19,1.0365,-0.2982
2020-08-20,1.0358,-0.0675
2020-08-21,1.0384,0.251
2020-08-24,1.0413,0.28
2020-08-25,1.0423,0.1
2020-08-26,1.0379,-0.42
2020-08-27,1.0412,0.32
2020-08-28,1.0443,0.3
2020-08-31,1.0461,0.17
2020-09-01,1.0462,0.01
2020-09-02,1.0469,0.07
2020-09-03,1.0431,-0.36
2020-09-04,1.0435,0.04
2020-09-07,1.0414,-0.2
2020-09-08,1.0421,0.07
2020-09-09,1.0362,-0.57
2020-09-10,1.033,-0.31
2020-09-11,1.0364,0.33
2020-09-14,1.0406,0.41
2020-09-15,1.0425,0.18
2020-09-16,1.043,0.05
2020-09-17,1.0428,-0.02
2020-09-18,1.0468,0.38
2020-09-21,1.0473,0.05
2020-09-22,1.0439,-0.32
2020-09-23,1.0451,0.11
2020-09-24,1.0412,-0.37
2020-09-25,1.0418,0.06
2020-09-28,1.042,0.02
2020-09-29,1.0437,0.16
2020-09-30,1.0447,0.1
2020-10-09,1.0479,0.31
2020-10-12,1.0552,0.7
2020-10-13,1.0566,0.13
2020-10-14,1.0565,-0.01
2020-10-15,1.055,-0.14
2020-10-16,1.0543,-0.07
2020-10-19,1.0536,-0.07
2020-10-20,1.0547,0.1
2020-10-21,1.0545,-0.02
2020-10-22,1.0519,-0.25
2020-10-23,1.0484,-0.33
2020-10-26,1.0481,-0.03
2020-10-27,1.0466,-0.14
2020-10-28,1.0454,-0.11
2020-10-29,1.0462,0.08
2020-10-30,1.0408,-0.52
2020-11-02,1.0413,0.05
2020-11-03,1.046,0.45
2020-11-04,1.0457,-0.03
2020-11-05,1.0489,0.31
2020-11-06,1.0473,-0.15
2020-11-09,1.0519,0.44
2020-11-10,1.0512,-0.07
2020-11-11,1.0484,-0.27
2020-11-12,1.0475,-0.09
2020-11-13,1.0464,-0.11
2020-11-16,1.0492,0.27
2020-11-17,1.048,-0.11
2020-11-18,1.0504,0.23
2020-11-19,1.0512,0.08
2020-11-20,1.0532,0.19
2020-11-23,1.0551,0.18
2020-11-24,1.0549,-0.02
2020-11-25,1.0536,-0.12
2020-11-26,1.0563,0.26
2020-11-27,1.058,0.16
2020-11-30,1.0584,0.04
2020-12-01,1.0627,0.41
2020-12-02,1.0615,-0.11
2020-12-03,1.0604,-0.1
2020-12-04,1.0609,0.05
2020-12-07,1.0594,-0.14
2020-12-08,1.0586,-0.08
2020-12-09,1.0556,-0.28
2020-12-10,1.0566,0.09
2020-12-11,1.0513,-0.5
2020-12-14,1.053,0.16
2020-12-15,1.0525,-0.05
2020-12-16,1.0531,0.06
2020-12-17,1.0558,0.26
2020-12-18,1.0552,-0.06
2020-12-21,1.056,0.08
2020-12-22,1.0493,-0.63
2020-12-23,1.0524,0.3
2020-12-24,1.0534,0.1
2020-12-25,1.0537,0.03
2020-12-28,1.0521,-0.15
2020-12-29,1.0501,-0.19
2020-12-30,1.0522,0.2
2020-12-31,1.0562,0.38
2021-01-04,1.0608,0.44
2021-01-05,1.0615,0.07
2021-01-06,1.0609,-0.06
2021-01-07,1.0587,-0.21
2021-01-08,1.0583,-0.04
2021-01-11,1.0263,-0.19
2021-01-12,1.0285,0.21
2021-01-13,1.0279,-0.06
2021-01-14,1.0273,-0.06
2021-01-15,1.028,0.07
2021-01-18,1.0325,0.44
2021-01-19,1.0313,-0.12
2021-01-20,1.0329,0.16
2021-01-21,1.0343,0.14
2021-01-22,1.0345,0.02
2021-01-25,1.0353,0.08
2021-01-26,1.0326,-0.26
2021-01-27,1.0325,-0.01
2021-01-28,1.0271,-0.52
2021-01-29,1.0264,-0.07
2021-02-01,1.0299,0.34
2021-02-02,1.0322,0.22
2021-02-03,1.0297,-0.24
2021-02-04,1.0283,-0.14
2021-02-05,1.0255,-0.27
2021-02-08,1.0282,0.26
2021-02-09,1.0313,0.3
2021-02-10,1.0328,0.15
2021-02-18,1.0369,0.4
2021-02-19,1.0394,0.24
2021-02-22,1.0389,-0.05
2021-02-23,1.0414,0.24
2021-02-24,1.0388,-0.25
2021-02-25,1.0389,0.01
2021-02-26,1.0348,-0.39
2021-03-01,1.0388,0.39
2021-03-02,1.0383,-0.05
2021-03-03,1.0397,0.13
2021-03-04,1.0376,-0.2
2021-03-05,1.0375,-0.01
2021-03-08,1.0346,-0.28
2021-03-09,1.0317,-0.28
2021-03-10,1.0318,0.01
2021-03-11,1.0344,0.25
2021-03-12,1.0346,0.02
2021-03-15,1.0334,-0.12
2021-03-16,1.0341,0.07
2021-03-17,1.0352,0.11
2021-03-18,1.0361,0.09
2021-03-19,1.0356,-0.05
2021-03-22,1.0373,0.16
2021-03-23,1.0359,-0.13
2021-03-24,1.0351,-0.08
2021-03-25,1.0361,0.1
2021-03-26,1.0386,0.24
2021-03-29,1.039,0.04
2021-03-30,1.0393,0.03
2021-03-31,1.0379,-0.13
2021-04-01,1.0385,0.06
2021-04-02,1.0389,0.04
2021-04-06,1.0398,0.09
2021-04-07,1.0392,-0.06
2021-04-08,1.0395,0.03
2021-04-09,1.0393,-0.02
2021-04-12,1.0375,-0.17
2021-04-13,1.0367,-0.08
2021-04-14,1.0371,0.04
2021-04-15,1.0367,-0.04
2021-04-16,1.0368,0.01
2021-04-19,1.0381,0.13
2021-04-20,1.038,-0.01
2021-04-21,1.0378,-0.02
2021-04-22,1.038,0.02
2021-04-23,1.0383,0.03
2021-04-26,1.0389,0.06
2021-04-27,1.0391,0.02
2021-04-28,1.0399,0.08
2021-04-29,1.0405,0.06
2021-04-30,1.0403,-0.02
2021-05-06,1.0396,-0.07
2021-05-07,1.0385,-0.11
2021-05-10,1.0378,-0.07
2021-05-11,1.0388,0.1
2021-05-12,1.0397,0.09
2021-05-13,1.0397,0.0
2021-05-14,1.0404,0.07
2021-05-17,1.0406,0.02
2021-05-18,1.0406,0.0
2021-05-19,1.04,-0.06
2021-05-20,1.0406,0.06
2021-05-21,1.0409,0.03
2021-05-24,1.0412,0.03
2021-05-25,1.0436,0.23
2021-05-26,1.0445,0.09
2021-05-27,1.0447,0.02
2021-05-28,1.0452,0.05
2021-05-31,1.046,0.08
2021-06-01,1.046,0.0
2021-06-02,1.0453,-0.07
2021-06-03,1.045,-0.03
2021-06-04,1.0458,0.08
2021-06-07,1.0467,0.09
2021-06-08,1.0462,-0.05
2021-06-09,1.0464,0.02
2021-06-10,1.0462,-0.02
2021-06-11,1.044,-0.21
2021-06-15,1.0425,-0.14
2021-06-16,1.0408,-0.16
2021-06-17,1.0415,0.07
2021-06-18,1.0428,0.12
2021-06-21,1.0457,0.28
2021-06-22,1.0466,0.09
2021-06-23,1.0469,0.03
2021-06-24,1.0456,-0.12
2021-06-25,1.0453,-0.03
2021-06-28,1.0458,0.05
2021-06-29,1.0447,-0.11
2021-06-30,1.0464,0.16
2021-07-01,1.0453,-0.11
2021-07-02,1.044,-0.12
2021-07-05,1.0443,0.03
2021-07-06,1.046,0.16
2021-07-07,1.0472,0.11
2021-07-08,1.0481,0.09
2021-07-09,1.0487,0.06
2021-07-12,1.0502,0.14
2021-07-13,1.05,-0.02
2021-07-14,1.0473,-0.26
2021-07-15,1.0481,0.08
2021-07-16,1.0487,0.06
2021-07-19,1.0487,0.0
2021-07-20,1.049,0.03
2021-07-21,1.05,0.1
2021-07-22,1.0499,-0.01
2021-07-23,1.0503,0.04
2021-07-26,1.0486,-0.16
2021-07-27,1.0456,-0.29
2021-07-28,1.0435,-0.2
2021-07-29,1.0451,0.15
2021-07-30,1.0459,0.08
2021-08-02,1.0484,0.24
2021-08-03,1.0495,0.1
2021-08-04,1.0516,0.2
2021-08-05,1.0522,0.06
2021-08-06,1.0528,0.06
2021-08-09,1.0544,0.15
2021-08-10,1.0571,0.26
2021-08-11,1.0579,0.08
2021-08-12,1.0577,-0.02
2021-08-13,1.0567,-0.09
2021-08-16,1.0559,-0.08
2021-08-17,1.0532,-0.26
2021-08-18,1.0549,0.16
2021-08-19,1.0551,0.02
2021-08-20,1.0542,-0.09
2021-08-23,1.0577,0.33
2021-08-24,1.0572,-0.05
2021-08-25,1.0578,0.06
2021-08-26,1.0548,-0.28
2021-08-27,1.0562,0.13
2021-08-30,1.0541,-0.2
2021-08-31,1.0532,-0.09
2021-09-01,1.0531,-0.01
2021-09-02,1.0537,0.06
2021-09-03,1.0533,-0.04
2021-09-06,1.0548,0.14
2021-09-07,1.0563,0.14
2021-09-08,1.0556,-0.07
2021-09-09,1.0541,-0.14
2021-09-10,1.0533,-0.08
2021-09-13,1.0538,0.05
2021-09-14,1.0518,-0.19
2021-09-15,1.0513,-0.05
2021-09-16,1.0479,-0.32
2021-09-17,1.0504,0.24
2021-09-22,1.0509,0.05
2021-09-23,1.0514,0.05
2021-09-24,1.0506,-0.08
2021-09-27,1.0503,-0.03
2021-09-28,1.0524,0.2
2021-09-29,1.0494,-0.29
2021-09-30,1.0519,0.24
2021-10-08,1.0546,0.26
2021-10-11,1.0552,0.06
2021-10-12,1.0544,-0.08
2021-10-13,1.0545,0.01
2021-10-14,1.0538,-0.07
2021-10-15,1.0529,-0.09
2021-10-18,1.0533,0.04
2021-10-19,1.0556,0.22
2021-10-20,1.056,0.04
2021-10-21,1.0558,-0.02
2021-10-22,1.0565,0.07
2021-10-25,1.0574,0.09
2021-10-26,1.058,0.06
2021-10-27,1.0552,-0.26
2021-10-28,1.0538,-0.13
2021-10-29,1.0558,0.19
2021-11-01,1.0568,0.09
2021-11-02,1.0572,0.04
2021-11-03,1.057,-0.02
2021-11-04,1.0588,0.17
2021-11-05,1.0576,-0.11
2021-11-08,1.0582,0.06
2021-11-09,1.0594,0.11
2021-11-10,1.0597,0.03
2021-11-11,1.0618,0.2
2021-11-12,1.064,0.21
2021-11-15,1.0661,0.2
2021-11-16,1.0656,-0.05
2021-11-17,1.0671,0.14
2021-11-18,1.0656,-0.14
2021-11-19,1.0672,0.15
2021-11-22,1.0686,0.13
2021-11-23,1.0688,0.02
2021-11-24,1.0692,0.04
2021-11-25,1.0682,-0.09
2021-11-26,1.0673,-0.08
2021-11-29,1.0691,0.17
2021-11-30,1.0705,0.13
2021-12-01,1.0715,0.09
2021-12-02,1.0723,0.07
2021-12-03,1.0719,-0.04
2021-12-06,1.0707,-0.11
2021-12-07,1.0694,-0.12
2021-12-08,1.0747,0.5
2021-12-09,1.0767,0.19
2021-12-10,1.0759,-0.07
2021-12-13,1.0757,-0.02
2021-12-14,1.0751,-0.06
2021-12-15,1.0738,-0.12
2021-12-16,1.0749,0.1
2021-12-17,1.0735,-0.13
2021-12-20,1.072,-0.14
2021-12-21,1.0733,0.12
2021-12-22,1.0739,0.06
2021-12-23,1.0733,-0.06
2021-12-24,1.073,-0.03
2021-12-27,1.0733,0.03
2021-12-28,1.0759,0.24
2021-12-29,1.0752,-0.07
2021-12-30,1.0757,0.05
2021-12-31,1.0771,0.13
2022-01-04,1.0781,0.09
2022-01-05,1.0786,0.05
2022-01-06,1.0784,-0.02
2022-01-07,1.0782,-0.02
2022-01-10,1.0775,-0.06
2022-01-11,1.0772,-0.03
2022-01-12,1.0787,0.14
2022-01-13,1.0771,-0.15
2022-01-14,1.074,-0.29
2022-01-17,1.0754,0.13
2022-01-18,1.0768,0.13
2022-01-19,1.077,0.02
2022-01-20,1.076,-0.09
2022-01-21,1.0743,-0.16
2022-01-24,1.0744,0.01
2022-01-25,1.0699,-0.42
2022-01-26,1.0702,0.03
2022-01-27,1.0674,-0.26
2022-01-28,1.0671,-0.03
2022-02-07,1.0701,0.28
2022-02-08,1.0714,0.12
2022-02-09,1.073,0.15
2022-02-10,1.0723,-0.07
2022-02-11,1.0697,-0.24
2022-02-14,1.0673,-0.22
2022-02-15,1.0686,0.12
2022-02-16,1.0698,0.11
2022-02-17,1.0698,0.0
2022-02-18,1.0712,0.13
2022-02-21,1.0725,0.12
2022-02-22,1.0712,-0.12
2022-02-23,1.0744,0.3
2022-02-24,1.0724,-0.19
2022-02-25,1.0715,-0.08
2022-02-28,1.071,-0.05
2022-03-01,1.0719,0.08
2022-03-02,1.0714,-0.05
2022-03-03,1.0706,-0.07
2022-03-04,1.0688,-0.17
2022-03-07,1.0654,-0.32
2022-03-08,1.0611,-0.4
2022-03-09,1.0585,-0.25
2022-03-10,1.059,0.05
2022-03-11,1.0595,0.05
2022-03-14,1.055,-0.42
2022-03-15,1.0454,-0.91
2022-03-16,1.0497,0.41
2022-03-17,1.0543,0.44
2022-03-18,1.0548,0.05
2022-03-21,1.0551,0.03
2022-03-22,1.055,-0.01
2022-03-23,1.0555,0.05
2022-03-24,1.0546,-0.09
2022-03-25,1.0536,-0.09
2022-03-28,1.0529,-0.07
2022-03-29,1.0524,-0.05
2022-03-30,1.0566,0.4
2022-03-31,1.0567,0.01
2022-04-01,1.0577,0.09
2022-04-06,1.0582,0.05
2022-04-07,1.0558,-0.23
2022-04-08,1.0557,-0.01
2022-04-11,1.0521,-0.34
2022-04-12,1.0545,0.23
2022-04-13,1.0525,-0.19
2022-04-14,1.0535,0.1
2022-04-15,1.0534,-0.01
2022-04-18,1.0517,-0.16
2022-04-19,1.0506,-0.1
2022-04-20,1.048,-0.25
2022-04-21,1.0447,-0.31
2022-04-22,1.0451,0.04
2022-04-25,1.0368,-0.79
2022-04-26,1.034,-0.27
2022-04-27,1.0368,0.27
2022-04-28,1.0358,-0.1
2022-04-29,1.0417,0.57
2022-05-05,1.0438,0.2
2022-05-06,1.0411,-0.26
2022-05-09,1.0422,0.11
2022-05-10,1.0443,0.2
2022-05-11,1.0453,0.1
2022-05-12,1.0458,0.05
2022-05-13,1.0465,0.07
2022-05-16,1.0459,-0.06
2022-05-17,1.0466,0.07
2022-05-18,1.0471,0.05
2022-05-19,1.047,-0.01
2022-05-20,1.0491,0.2
2022-05-23,1.0498,0.07
2022-05-24,1.0448,-0.48
2022-05-25,1.0462,0.13
2022-05-26,1.0465,0.03
2022-05-27,1.0456,-0.09
2022-05-30,1.0468,0.11
2022-05-31,1.0485,0.16
2022-06-01,1.0492,0.07
2022-06-02,1.0499,0.07
2022-06-06,1.054,0.39
2022-06-07,1.0539,-0.01
2022-06-08,1.0552,0.12
2022-06-09,1.0525,-0.26
2022-06-10,1.0555,0.29
2022-06-13,1.054,-0.14
2022-06-14,1.0541,0.01
2022-06-15,1.0556,0.14
2022-06-16,1.056,0.04
2022-06-17,1.0586,0.25
2022-06-20,1.0599,0.12
2022-06-21,1.0596,-0.03
2022-06-22,1.0578,-0.17
2022-06-23,1.0604,0.25
2022-06-24,1.0635,0.29
2022-06-27,1.0646,0.1
2022-06-28,1.0655,0.08
2022-06-29,1.0646,-0.08
2022-06-30,1.0677,0.29
2022-07-01,1.066,-0.16
2022-07-04,1.0674,0.13
2022-07-05,1.0656,-0.17
2022-07-06,1.0639,-0.16
2022-07-07,1.0633,-0.06
2022-07-08,1.0631,-0.02
2022-07-11,1.0608,-0.22
2022-07-12,1.0591,-0.16
2022-07-13,1.059,-0.01
2022-07-14,1.059,0.0
2022-07-15,1.0575,-0.14
2022-07-18,1.059,0.14
2022-07-19,1.0601,0.1
2022-07-20,1.062,0.18
2022-07-21,1.0618,-0.02
2022-07-22,1.0599,-0.18
2022-07-25,1.0588,-0.1
2022-07-26,1.0606,0.17
2022-07-27,1.061,0.04
2022-07-28,1.0611,0.01
2022-07-29,1.0595,-0.15
2022-08-01,1.0595,0.0
2022-08-02,1.0561,-0.32
2022-08-03,1.0557,-0.04
2022-08-04,1.058,0.22
2022-08-05,1.0615,0.33
2022-08-08,1.0621,0.06
2022-08-09,1.0619,-0.02
2022-08-10,1.0606,-0.12
2022-08-11,1.0636,0.28
2022-08-12,1.0632,-0.04
2022-08-15,1.067,0.36
2022-08-16,1.0661,-0.08
2022-08-17,1.0692,0.29
2022-08-18,1.0699,0.07
2022-08-19,1.0687,-0.11
2022-08-22,1.0699,0.11
2022-08-23,1.0699,0.0
2022-08-24,1.0647,-0.49
2022-08-25,1.0647,0.0
2022-08-26,1.0639,-0.08
2022-08-29,1.065,0.1
2022-08-30,1.0647,-0.03
2022-08-31,1.0625,-0.21
2022-09-01,1.0613,-0.11
2022-09-02,1.0622,0.08
2022-09-05,1.062,-0.02
2022-09-06,1.0642,0.21
2022-09-07,1.064,-0.02
2022-09-08,1.0632,-0.08
2022-09-09,1.065,0.17
2022-09-13,1.0651,0.01
2022-09-14,1.0634,-0.16
2022-09-15,1.06,-0.32
2022-09-16,1.0546,-0.51
2022-09-19,1.0519,-0.26
2022-09-20,1.0536,0.16
2022-09-21,1.0525,-0.1
2022-09-22,1.0513,-0.11
2022-09-23,1.048,-0.31
2022-09-26,1.0458,-0.21
2022-09-27,1.0509,0.49
2022-09-28,1.0462,-0.45
2022-09-29,1.0455,-0.07
2022-09-30,1.0424,-0.3
2022-10-10,1.0399,-0.24
2022-10-11,1.0399,0.0
2022-10-12,1.0467,0.65
2022-10-13,1.0481,0.13
2022-10-14,1.0545,0.61
2022-10-17,1.056,0.14
2022-10-18,1.0593,0.31
2022-10-19,1.0562,-0.29
