净值日期,累计净值
2012-12-07,1.0
2012-12-14,1.0
2012-12-21,1.001
2012-12-28,1.001
2012-12-31,1.001
2013-01-04,1.002
2013-01-11,1.004
2013-01-18,1.004
2013-01-25,1.004
2013-02-01,1.002
2013-02-04,1.002
2013-02-05,1.001
2013-02-06,1.003
2013-02-07,1.004
2013-02-08,1.004
2013-02-18,1.006
2013-02-19,1.007
2013-02-20,1.007
2013-02-21,1.007
2013-02-22,1.008
2013-02-25,1.008
2013-02-26,1.008
2013-02-27,1.008
2013-02-28,1.009
2013-03-01,1.01
2013-03-04,1.009
2013-03-05,1.009
2013-03-06,1.009
2013-03-07,1.01
2013-03-08,1.011
2013-03-11,1.012
2013-03-12,1.013
2013-03-13,1.012
2013-03-14,1.012
2013-03-15,1.012
2013-03-18,1.01
2013-03-19,1.012
2013-03-20,1.011
2013-03-21,1.013
2013-03-22,1.013
2013-03-25,1.014
2013-03-26,1.014
2013-03-27,1.013
2013-03-28,1.012
2013-04-02,1.011
2013-04-03,1.012
2013-04-08,1.015
2013-04-09,1.018
2013-04-10,1.018
2013-04-11,1.023
2013-04-12,1.023
2013-04-15,1.022
2013-04-16,1.02
2013-04-17,1.02
2013-04-18,1.02
2013-04-19,1.02
2013-04-22,1.022
2013-04-23,1.025
2013-04-24,1.028
2013-04-25,1.029
2013-04-26,1.029
2013-05-02,1.031
2013-05-03,1.036
2013-05-06,1.039
2013-05-07,1.041
2013-05-08,1.044
2013-05-09,1.044
2013-05-10,1.045
2013-05-13,1.044
2013-05-14,1.039
2013-05-15,1.041
2013-05-16,1.042
2013-05-20,1.04
2013-05-21,1.038
2013-05-22,1.035
2013-05-23,1.03
2013-05-24,1.029
2013-05-27,1.028
2013-05-28,1.026
2013-05-29,1.021
2013-05-30,1.021
2013-05-31,1.016
2013-06-03,1.008
2013-06-04,1.01
2013-06-05,1.009
2013-06-06,1.005
2013-06-07,1.001
2013-06-13,0.985
2013-06-14,0.993
2013-06-17,0.997
2013-06-18,0.999
2013-06-19,0.995
2013-06-20,0.982
2013-06-21,0.968
2013-06-24,0.953
2013-06-25,0.945
2013-06-26,0.947
2013-06-27,0.958
2013-06-28,0.961
2013-06-30,0.962
2013-07-02,0.969
2013-07-03,0.961
2013-07-04,0.957
2013-07-05,0.951
2013-07-08,0.946
2013-07-09,0.95
2013-07-10,0.949
2013-07-11,0.954
2013-07-12,0.958
2013-07-15,0.963
2013-07-16,0.969
2013-07-17,0.971
2013-07-18,0.982
2013-07-19,0.985
2013-07-22,0.988
2013-07-23,0.993
2013-07-24,0.989
2013-07-25,0.984
2013-07-26,0.984
2013-07-29,0.983
2013-07-30,0.982
2013-07-31,0.982
2013-08-01,0.981
2013-08-02,0.985
2013-08-05,0.988
2013-08-06,0.99
2013-08-07,0.991
2013-08-08,0.992
2013-08-09,0.994
2013-08-12,0.997
2013-08-13,0.999
2013-08-14,1.0
2013-08-15,1.001
2013-08-16,0.997
2013-08-19,0.993
2013-08-20,0.987
2013-08-21,0.985
2013-08-22,0.982
2013-08-23,0.985
2013-08-26,0.988
2013-08-27,0.99
2013-08-28,0.985
2013-08-29,0.988
2013-08-30,0.99
2013-09-02,0.993
2013-09-03,0.995
2013-09-04,0.994
2013-09-05,0.994
2013-09-06,0.995
2013-09-09,0.997
2013-09-10,0.999
2013-09-11,1.0
2013-09-12,1.004
2013-09-13,1.004
2013-09-16,1.011
2013-09-17,1.012
2013-09-18,1.018
2013-09-23,1.021
2013-09-24,1.018
2013-09-25,1.019
2013-09-26,1.019
2013-09-27,1.02
2013-09-30,1.018
2013-10-08,1.026
2013-10-09,1.026
2013-10-10,1.028
2013-10-11,1.029
2013-10-15,1.034
2013-10-16,1.037
2013-10-17,1.043
2013-10-18,1.047
2013-10-21,1.049
2013-10-22,1.05
2013-10-23,1.047
2013-10-24,1.045
2013-10-25,1.044
2013-10-28,1.043
2013-10-29,1.045
2013-10-30,1.046
2013-10-31,1.047
2013-11-01,1.047
2013-11-04,1.046
2013-11-05,1.046
2013-11-06,1.046
2013-11-07,1.047
2013-11-08,1.044
2013-11-11,1.044
2013-11-12,1.043
2013-11-13,1.043
2013-11-14,1.044
2013-11-15,1.045
2013-11-18,1.047
2013-11-19,1.048
2013-11-20,1.049
2013-11-21,1.05
2013-11-22,1.049
2013-11-25,1.05
2013-11-26,1.05
2013-11-27,1.05
2013-11-28,1.05
2013-11-29,1.051
2013-12-02,1.052
2013-12-03,1.054
2013-12-04,1.054
2013-12-05,1.055
2013-12-06,1.054
2013-12-09,1.055
2013-12-10,1.055
2013-12-11,1.054
2013-12-12,1.055
2013-12-13,1.055
2013-12-16,1.055
2013-12-17,1.055
2013-12-18,1.055
2013-12-19,1.055
2013-12-20,1.055
2013-12-23,1.056
2013-12-24,1.056
2013-12-27,1.057
2013-12-30,1.057
2013-12-31,1.056
2014-01-02,1.057
2014-01-03,1.057
2014-01-06,1.058
2014-01-07,1.056
2014-01-08,1.054
2014-01-09,1.055
2014-01-10,1.056
2014-01-13,1.056
2014-01-14,1.055
2014-01-15,1.057
2014-01-16,1.058
2014-01-17,1.059
2014-01-21,1.058
2014-01-22,1.054
2014-01-23,1.054
2014-01-24,1.05
2014-01-27,1.048
2014-01-28,1.05
