净值日期,累计净值
2020-04-13,1.0
2020-04-15,1.0
2020-04-16,1.0001
2020-04-17,1.0001
2020-04-20,1.0001
2020-04-21,1.0001
2020-04-22,1.0001
2020-04-23,1.0002
2020-04-24,1.0002
2020-04-27,1.0002
2020-04-28,1.0002
2020-04-29,1.0004
2020-04-30,1.0005
2020-05-06,1.0002
2020-05-07,0.9977
2020-05-08,0.9977
2020-05-11,0.9952
2020-05-12,0.9956
2020-05-13,0.9965
2020-05-14,0.9968
2020-05-15,0.9977
2020-05-18,0.997
2020-05-19,0.9963
2020-05-20,0.9953
2020-05-21,0.9951
2020-05-22,0.9952
2020-05-25,0.9948
2020-05-26,0.9938
2020-05-27,0.9927
2020-05-28,0.9928
2020-05-29,0.9928
2020-06-01,0.9929
2020-06-02,0.9904
2020-06-03,0.9894
2020-06-04,0.9883
2020-06-05,0.9874
2020-06-08,0.9878
2020-06-09,0.9887
2020-06-10,0.9886
2020-06-11,0.9891
2020-06-12,0.9896
2020-06-15,0.9897
2020-06-16,0.9884
2020-06-17,0.9873
2020-06-18,0.9874
2020-06-19,0.9872
2020-06-22,0.9859
2020-06-23,0.985
2020-06-24,0.9869
2020-06-29,0.9878
2020-06-30,0.9883
2020-07-01,0.9883
2020-07-02,0.9888
2020-07-03,0.9884
2020-07-06,0.9854
2020-07-07,0.9842
2020-07-08,0.9827
2020-07-09,0.9798
2020-07-10,0.98
2020-07-13,0.9778
2020-07-14,0.9788
2020-07-15,0.9802
2020-07-16,0.9806
2020-07-17,0.9811
2020-07-20,0.982
2020-07-21,0.9838
2020-07-22,0.9839
2020-07-23,0.9837
2020-07-24,0.9842
2020-07-27,0.9842
2020-07-28,0.9834
2020-07-29,0.9829
2020-07-30,0.9828
2020-07-31,0.9819
2020-08-03,0.982
2020-08-04,0.9825
2020-08-05,0.9826
2020-08-06,0.9824
2020-08-07,0.9824
2020-08-10,0.9832
2020-08-11,0.9829
2020-08-12,0.9828
2020-08-13,0.983
2020-08-14,0.9833
2020-08-17,0.9837
2020-08-18,0.9835
2020-08-19,0.9829
2020-08-20,0.9819
2020-08-21,0.9818
2020-08-24,0.9811
2020-08-25,0.9798
2020-08-26,0.9797
2020-08-27,0.9794
2020-08-28,0.9791
2020-08-31,0.9798
2020-09-01,0.9797
2020-09-02,0.9791
2020-09-03,0.9789
2020-09-04,0.9788
2020-09-07,0.978
2020-09-08,0.9783
2020-09-09,0.9793
2020-09-10,0.9801
2020-09-11,0.9796
2020-09-14,0.9796
2020-09-15,0.981
2020-09-16,0.9816
2020-09-17,0.9813
2020-09-18,0.9819
2020-09-21,0.9824
2020-09-22,0.9824
2020-09-23,0.9823
2020-09-24,0.9821
2020-09-25,0.9816
2020-09-28,0.982
2020-09-29,0.9817
2020-09-30,0.9819
2020-10-09,0.982
2020-10-12,0.9823
2020-10-13,0.9827
2020-10-14,0.9826
2020-10-15,0.9827
2020-10-16,0.983
2020-10-19,0.9837
2020-10-20,0.9839
2020-10-21,0.9844
2020-10-22,0.9852
2020-10-23,0.9851
2020-10-26,0.9852
2020-10-27,0.9854
2020-10-28,0.9854
2020-10-29,0.9855
2020-10-30,0.9855
2020-11-02,0.9862
2020-11-03,0.9867
2020-11-04,0.987
2020-11-05,0.9871
2020-11-06,0.9867
2020-11-09,0.9866
2020-11-10,0.9864
2020-11-11,0.9864
2020-11-12,0.9859
2020-11-13,0.9852
2020-11-16,0.9853
2020-11-17,0.9852
2020-11-18,0.9846
2020-11-19,0.9835
2020-11-20,0.9834
2020-11-23,0.9846
2020-11-24,0.9844
2020-11-25,0.9851
2020-11-26,0.9853
2020-11-27,0.9856
2020-11-30,0.9875
2020-12-01,0.9875
2020-12-02,0.9872
2020-12-03,0.9873
2020-12-04,0.9877
2020-12-07,0.9882
2020-12-08,0.989
2020-12-09,0.9893
2020-12-10,0.9899
2020-12-11,0.9894
2020-12-14,0.9898
2020-12-15,0.9908
2020-12-16,0.9917
2020-12-17,0.9921
2020-12-18,0.9922
2020-12-21,0.9934
2020-12-22,0.9945
2020-12-23,0.9946
2020-12-24,0.9942
2020-12-25,0.9948
2020-12-28,0.9957
2020-12-29,0.9963
2020-12-30,0.9972
2020-12-31,0.9975
2021-01-04,0.9966
2021-01-05,0.9977
2021-01-06,0.9982
2021-01-07,0.9988
2021-01-08,0.999
2021-01-11,0.9989
2021-01-12,0.9994
2021-01-13,1.0003
2021-01-14,1.0004
2021-01-15,0.9988
2021-01-18,0.9976
2021-01-19,0.9974
2021-01-20,0.998
2021-01-21,0.9993
2021-01-22,0.9993
2021-01-25,0.999
2021-01-26,0.9973
2021-01-27,0.9969
2021-01-28,0.9949
