净值日期,累计净值
2021-09-09,1.0
2021-09-10,1.0001
2021-09-17,1.0005
2021-09-22,1.0008
2021-09-23,1.0009
2021-09-24,1.0009
2021-09-27,1.001
2021-09-28,1.0009
2021-09-29,1.0011
2021-09-30,1.0015
2021-10-08,1.0018
2021-10-11,1.0018
2021-10-12,1.0018
2021-10-13,1.0019
2021-10-14,1.0019
2021-10-15,1.002
2021-10-18,1.0017
2021-10-19,1.0017
2021-10-20,1.0019
2021-10-21,1.0023
2021-10-22,1.0024
2021-10-25,1.0027
2021-10-26,1.0029
2021-10-27,1.0029
2021-10-28,1.0031
2021-10-29,1.0031
2021-11-01,1.0034
2021-11-02,1.0036
2021-11-03,1.0038
2021-11-04,1.0039
2021-11-05,1.0042
2021-11-08,1.0044
2021-11-09,1.0043
2021-11-10,1.0044
2021-11-11,1.0044
2021-11-12,1.0045
2021-11-15,1.005
2021-11-16,1.0051
2021-11-17,1.0051
2021-11-18,1.0053
2021-11-19,1.0053
2021-11-22,1.0057
2021-11-23,1.0057
2021-11-24,1.0059
2021-11-25,1.0059
2021-11-26,1.0061
2021-11-29,1.0062
2021-11-30,1.0062
2021-12-01,1.0063
2021-12-02,1.0063
2021-12-03,1.0064
2021-12-06,1.0068
2021-12-07,1.0069
2021-12-08,1.0069
2021-12-09,1.0069
2021-12-10,1.0072
2021-12-13,1.0074
2021-12-14,1.0075
2021-12-15,1.0077
2021-12-16,1.0077
2021-12-17,1.0078
2021-12-20,1.0075
2021-12-21,1.0073
2021-12-22,1.0075
2021-12-23,1.0081
2021-12-24,1.0081
2021-12-27,1.0083
2021-12-28,1.0084
2021-12-29,1.0088
2021-12-30,1.0095
2021-12-31,1.0101
2022-01-04,1.0105
2022-01-05,1.0106
2022-01-06,1.0106
2022-01-07,1.0109
2022-01-10,1.0114
2022-01-11,1.0116
2022-01-12,1.0116
2022-01-13,1.0115
2022-01-14,1.0115
2022-01-17,1.012
2022-01-18,1.0127
2022-01-19,1.0131
2022-01-20,1.0132
2022-01-21,1.0136
2022-01-24,1.0142
2022-01-25,1.014
2022-01-26,1.0141
2022-01-27,1.0144
2022-01-28,1.0148
2022-02-07,1.015
2022-02-08,1.0154
2022-02-09,1.0156
2022-02-10,1.016
2022-02-11,1.0156
2022-02-14,1.0157
2022-02-15,1.0158
2022-02-16,1.0158
2022-02-17,1.0159
2022-02-18,1.0156
2022-02-21,1.0154
2022-02-22,1.0147
2022-02-23,1.0147
2022-02-24,1.0148
2022-02-25,1.0149
2022-02-28,1.0152
2022-03-01,1.0151
2022-03-02,1.0148
2022-03-03,1.0143
2022-03-04,1.0145
2022-03-07,1.0146
2022-03-08,1.0148
2022-03-09,1.0146
2022-03-10,1.0144
2022-03-11,1.0146
2022-03-14,1.0154
2022-03-15,1.0148
2022-03-16,1.0146
2022-03-17,1.0148
2022-03-18,1.0152
2022-03-21,1.0153
2022-03-22,1.015
2022-03-23,1.0151
2022-03-24,1.0152
2022-03-25,1.0153
2022-03-28,1.0154
2022-03-29,1.0155
2022-03-30,1.0159
2022-03-31,1.0162
2022-04-01,1.0167
2022-04-06,1.0172
2022-04-07,1.0174
2022-04-08,1.0174
2022-04-11,1.0173
2022-04-12,1.0173
2022-04-13,1.0175
2022-04-14,1.018
2022-04-15,1.0184
2022-04-18,1.0183
2022-04-19,1.0186
2022-04-20,1.0187
2022-04-21,1.0189
2022-04-22,1.019
2022-04-25,1.0195
2022-04-26,1.0195
2022-04-27,1.0192
2022-04-28,1.0191
2022-04-29,1.0194
2022-05-05,1.0198
2022-05-06,1.0198
2022-05-09,1.0202
2022-05-10,1.0205
2022-05-11,1.0204
2022-05-12,1.0207
2022-05-13,1.0209
2022-05-16,1.0212
2022-05-17,1.0215
2022-05-18,1.0221
2022-05-19,1.0221
2022-05-20,1.022
2022-05-23,1.0224
2022-05-24,1.0223
2022-05-25,1.0221
2022-05-26,1.0226
2022-05-27,1.0227
2022-05-30,1.0226
2022-05-31,1.0225
2022-06-01,1.0225
2022-06-02,1.0224
2022-06-06,1.022
2022-06-07,1.0222
2022-06-08,1.0222
2022-06-09,1.0225
2022-06-10,1.0226
2022-06-13,1.0229
2022-06-14,1.0229
2022-06-15,1.0229
2022-06-16,1.0232
2022-06-17,1.0235
2022-06-20,1.0234
2022-06-21,1.0235
2022-06-22,1.0237
2022-06-23,1.024
2022-06-24,1.0241
2022-06-27,1.0237
2022-06-28,1.0238
2022-06-29,1.0243
2022-06-30,1.0246
2022-07-01,1.0249
2022-07-04,1.0242
2022-07-05,1.0238
2022-07-06,1.0239
2022-07-07,1.0241
2022-07-08,1.0243
2022-07-11,1.0247
2022-07-12,1.025
2022-07-13,1.0252
2022-07-14,1.0256
2022-07-15,1.0261
2022-07-18,1.0264
2022-07-19,1.0263
2022-07-20,1.0265
2022-07-21,1.0268
2022-07-22,1.0268
2022-07-25,1.0271
2022-07-26,1.0276
2022-07-27,1.0276
2022-07-28,1.0275
2022-07-29,1.0281
2022-08-01,1.0289
2022-08-02,1.0294
2022-08-03,1.0298
2022-08-04,1.03
2022-08-05,1.0299
2022-08-08,1.0298
2022-08-09,1.0291
2022-08-10,1.029
2022-08-11,1.029
2022-08-12,1.0289
2022-08-15,1.0305
2022-08-16,1.0305
2022-08-17,1.0305
2022-08-18,1.0307
2022-08-19,1.0306
2022-08-22,1.0305
2022-08-23,1.0303
2022-08-24,1.0303
2022-08-25,1.03
2022-08-26,1.03
2022-08-29,1.0305
2022-08-30,1.031
2022-08-31,1.0311
2022-09-01,1.0312
2022-09-02,1.0313
2022-09-05,1.0318
2022-09-06,1.0318
2022-09-07,1.0319
2022-09-08,1.0319
2022-09-09,1.032
2022-09-13,1.0321
2022-09-14,1.0321
2022-09-15,1.0322
2022-09-16,1.0321
2022-09-19,1.032
2022-09-20,1.032
2022-09-21,1.0324
2022-09-22,1.0325
2022-09-23,1.0325
2022-09-26,1.0321
2022-09-27,1.032
2022-09-28,1.0318
2022-09-29,1.032
2022-09-30,1.0321
2022-10-10,1.0333
2022-10-11,1.0332
2022-10-12,1.0333
2022-10-13,1.0332
2022-10-14,1.0335
2022-10-17,1.0336
2022-10-18,1.0336
2022-10-19,1.0339
2022-10-20,1.0339
2022-10-21,1.0339
2022-10-24,1.034
2022-10-25,1.0336
2022-10-26,1.0338
