净值日期,累计净值
2024-01-17,1.0
2024-01-19,0.9999
2024-01-26,0.9999
2024-02-02,0.9999
2024-02-08,1.0002
2024-02-20,1.0005
2024-02-21,1.0005
2024-02-22,1.0008
2024-02-23,1.001
2024-02-26,1.0013
2024-02-27,1.0013
2024-02-28,1.0013
2024-02-29,1.0012
2024-03-01,1.0011
2024-03-04,1.001
2024-03-05,1.001
2024-03-06,1.001
2024-03-07,1.001
2024-03-08,1.001
2024-03-11,1.0009
2024-03-12,1.0009
2024-03-13,1.0009
2024-03-14,1.0009
2024-03-15,1.0008
2024-03-18,1.0008
2024-03-19,1.0008
2024-03-20,1.0008
2024-03-21,1.0008
2024-03-22,1.0008
2024-03-25,1.0007
2024-03-26,1.0007
2024-03-27,1.0007
2024-03-28,1.0007
2024-03-29,1.0007
2024-04-01,1.0006
2024-04-02,1.0006
2024-04-03,1.0006
2024-04-08,1.0005
2024-04-09,1.0006
2024-04-10,1.0006
2024-04-11,1.0005
2024-04-12,1.0005
2024-04-15,1.0005
2024-04-16,1.0004
2024-04-17,1.0004
2024-04-18,1.0004
2024-04-19,1.0004
2024-04-22,1.0008
2024-04-23,1.0015
2024-04-24,1.0017
2024-04-25,1.0019
2024-04-26,1.0029
2024-04-29,1.0073
2024-04-30,1.0092
2024-05-06,1.0209
2024-05-07,1.0228
2024-05-08,1.0249
2024-05-09,1.0269
2024-05-10,1.0289
